Date,Close,High,Low,Open,Volume
2000-02-01,17.57763863,17.75654587,17.25928895,17.4066235,149956451
2000-02-02,17.89862823,18.25381316,17.81443762,18.0433331,139355731
2000-02-03,17.97756004,18.07490796,17.70130616,17.99597828,94831223
2000-02-04,18.10910416,18.27748676,17.98018638,18.10121203,99528064
2000-02-07,18.08016586,18.38799241,17.78812638,17.94861689,114747088
2000-02-08,18.01702118,18.25381015,17.94598364,18.18014144,90057597
2000-02-09,18.43798065,18.66161375,18.14330861,18.36431194,160165902
2000-02-10,18.71949768,19.14308757,18.14857316,18.35379086,151143675
2000-02-11,19.11677361,19.6798059,18.94575982,19.15360866,114214724
2000-02-14,18.5274334,18.99048806,18.41693103,18.89051039,71806185
2000-02-15,18.11963081,18.64845926,17.99860515,18.52217124,113776526
2000-02-16,18.3195858,18.61688763,18.05385668,18.41693229,110304203
2000-02-17,18.656353,18.77474749,18.28538246,18.29590576,107425289
2000-02-18,18.38798904,18.83525801,18.31169057,18.78000613,70451511
2000-02-21,18.18803596,18.52217144,17.97755593,18.33274081,41234633
2000-02-22,17.59343338,18.25907319,17.49608688,18.20645388,100723088
2000-02-23,17.35400963,18.13804519,17.22246068,18.13804519,67665446
2000-02-24,17.71971893,17.92756637,17.32770043,17.51713244,79319185
2000-02-25,17.29087067,18.04333374,17.15932168,17.96440407,54786600
2000-02-28,17.52765656,17.74602871,16.31213896,17.09354343,70386208
2000-02-29,16.35686493,18.04069941,16.12533832,17.78023127,139625441
2000-03-01,16.6699543,17.35664349,15.73332305,16.57523899,150769883
2000-03-02,15.35183239,16.94358185,15.33867651,16.77782896,175562684
2000-03-03,14.12578583,15.05452488,14.12578583,15.05452488,64935300
2000-03-06,13.36279678,14.93612881,12.99709007,14.12578432,146075956
2000-03-07,12.74977779,13.62852872,12.62875213,13.52328871,133888438
2000-03-08,12.25778389,13.18126066,12.10255574,12.99183003,101621246
2000-03-09,12.17095852,12.75503876,11.7947271,12.41300982,77665531
2000-03-10,11.41060734,12.35513302,11.29221282,12.313037,92389443
2000-03-13,10.69234371,12.07624459,10.53974675,11.57109465,150763063
2000-03-14,11.5342598,11.55004544,10.37399283,10.81336825,141532996
2000-03-15,12.45773888,12.45773888,11.3658774,11.78683606,79982280
2000-03-16,12.35776138,13.03918821,12.10781652,12.60244249,147946692
2000-03-17,12.35776138,12.35776138,12.35776138,12.35776138,0
2000-03-20,12.35776138,12.35776138,12.35776138,12.35776138,0
2000-03-21,12.51825333,12.77609034,11.97626893,12.56561029,95762643
2000-03-22,12.8076601,13.07602179,12.69189679,12.89185212,69064318
2000-03-23,12.67874146,12.93394725,12.55245344,12.90500572,60024739
2000-03-24,12.660326,12.78398145,12.50509785,12.58665729,36941526
2000-03-27,13.67325687,13.67325687,12.78661376,12.78661376,58001578
2000-03-28,14.76774883,14.76774883,13.84427066,13.84427066,98405624
2000-03-29,14.27575397,15.25448122,14.15472831,14.98612093,143934962
2000-03-30,15.41760159,15.41760159,13.59169481,14.1547271,240432206
2000-03-31,16.65153503,16.65153503,14.73880658,15.62807934,275945423
2000-04-03,17.29087067,17.5592324,16.73836295,17.24088253,299036394
2000-04-04,15.9095974,17.15405654,15.9095974,17.15405654,189486468
2000-04-05,15.90433598,16.41737875,14.64146004,15.9648474,352720260
2000-04-06,17.56505585,17.58121228,16.29405939,16.31829476,227418526
2000-04-07,18.97068787,18.97068787,17.7616258,17.7616258,163657523
2000-04-10,19.63311958,20.46519096,19.36114745,19.92124814,309647520
2000-04-11,19.05147743,19.33422003,18.66102289,19.28036334,136676715
2000-04-12,18.20055008,19.3880698,18.00936305,19.22650265,241770257
2000-04-13,16.74645042,17.83164305,16.74645042,17.83164305,3153974
2000-04-14,16.74645042,16.74645042,16.74645042,16.74645042,0
2000-04-17,16.07056236,16.19981671,15.40813562,15.40813562,223113571
2000-04-18,16.15942001,16.63604259,15.83359126,16.00054438,122899571
2000-04-19,16.95648193,17.4519553,16.32367822,16.5714149,228183965
2000-04-20,18.189785,18.31365338,16.65489516,16.85685416,271517327
2000-04-21,18.189785,18.189785,18.189785,18.189785,0
2000-04-24,18.14669991,19.42038951,17.39541215,18.63409448,246733265
2000-04-25,17.88280869,18.28403374,16.78415105,17.35771524,221403241
2000-04-26,19.27767181,19.31537064,18.31096016,18.31096016,238053151
2000-04-27,18.61524391,19.71120838,18.21940344,19.43115878,413796521
2000-04-28,18.58293152,18.95184366,18.32711584,18.71487739,188028343
2000-05-01,18.58293152,18.58293152,18.58293152,18.58293152,0
2000-05-02,17.72662163,19.09994406,17.51658516,18.74180387,230017702
2000-05-03,17.66469193,17.9797474,16.65220249,17.61083523,192704191
2000-05-04,18.16016579,18.46983677,17.82626087,17.82626087,158631859
2000-05-05,18.06053162,18.39443795,17.67007705,18.23017776,156073814
2000-05-08,17.44926262,18.14938791,17.35770857,17.8262536,82504670
2000-05-09,17.68353844,17.87203396,17.1476732,17.31462633,85940035
2000-05-10,17.51658058,18.03628781,17.41156166,17.77239473,93165917
2000-05-11,17.05881119,17.4519572,16.91070747,17.4519572,90033846
2000-05-12,17.01303291,17.3684801,16.87300813,17.21229889,57913070
2000-05-15,17.20691681,17.48696643,16.50679132,16.80569179,81188494
2000-05-16,17.09381676,17.33616751,16.96456245,17.23384154,43882418
2000-05-17,17.17191124,17.68623417,17.03188643,17.28231473,109270328
2000-05-18,16.70066833,17.22037564,16.53910118,17.12612861,75382294
2000-05-19,16.99687958,17.1826807,16.54718384,16.5875742,111574963
2000-05-22,16.82723427,17.06689209,16.6414317,16.85685415,43662227
2000-05-23,16.9510994,17.01841809,16.61450017,16.81915211,58389850
2000-05-24,16.84338951,17.12074757,16.69528578,16.89186024,56605367
2000-05-25,16.84608459,17.11536376,16.75452908,16.81915625,36653287
2000-05-26,17.04265404,17.1261306,16.74914101,16.95379295,49082689
2000-05-29,18.28134155,18.71218796,17.12613563,17.15306398,165326988
2000-05-30,18.51561356,18.62601705,18.15478031,18.35135337,79692753
2000-05-31,18.52099609,19.21573555,18.42405463,18.90337166,118366163
2000-06-01,18.26787567,18.62870889,18.10361549,18.42405692,75363108
2000-06-02,18.17362976,18.63409602,17.9932117,18.47252881,81875438
2000-06-05,18.26787567,18.94915176,18.11707895,18.18709207,151857297
2000-06-06,18.24633408,18.46445096,18.1009233,18.2032493,54887782
2000-06-07,18.20055008,18.54791974,18.10899603,18.30556902,52545769
2000-06-08,18.35673904,18.58024044,18.21671423,18.30557533,64426688
2000-06-09,18.37558174,18.99492344,18.25979233,18.41328055,172161391
2000-06-12,18.27864647,18.61793728,18.23286871,18.44021366,57726882
2000-06-13,18.23017693,18.6583303,18.1520863,18.25710383,95747252
2000-06-14,18.16824341,18.66102397,18.10092326,18.66102397,62793550
2000-06-15,17.85049057,18.36481343,17.63776112,18.36481343,85105386
2000-06-16,17.89357567,18.08745715,17.71854503,17.74816635,63843153
2000-06-19,17.84511185,18.09554163,17.78317764,17.97436477,43452959
2000-06-20,17.78856277,17.98783028,17.6943157,17.96090193,58093559
2000-06-21,17.72662163,17.98782324,17.67815234,17.98782324,29007035
2000-06-22,18.58023834,18.83874556,17.40887478,17.7912518,268082760
2000-06-23,18.189785,19.09994699,18.04168126,18.63948076,224036672
2000-06-26,17.83433723,18.07399505,17.67815456,18.04168075,48525944
2000-06-27,18.01475525,18.30557536,17.77778896,17.8451091,106940541
2000-06-28,17.97436142,18.14670054,17.90704271,18.04168157,24433854
2000-06-29,18.43213463,18.61793718,18.03629415,18.06052952,106685828
2000-06-30,18.35404396,18.56408188,18.09553674,18.52638306,88865990
2000-07-03,18.74988365,18.95453562,18.20324788,18.20324788,137988774
2000-07-04,18.60177612,18.82797042,18.52907004,18.77411374,75354482
2000-07-05,19.07301903,19.40692389,18.66640807,18.79566096,189904178
2000-07-06,19.51463699,19.65196883,18.84951734,18.90337403,200669996
2000-07-07,19.45270157,19.70582283,19.3880744,19.62503923,111604092
2000-07-10,19.84584808,19.98048692,19.31536878,19.54964062,131908677
2000-07-11,20.24707603,20.34132309,19.74083203,19.92124864,170025705
2000-07-12,19.9293251,20.23630307,19.81892162,20.14744197,70757129
