Price,Open,High,Low,Vol.,Change %,Target
224.86,222.56,225.47,222.14,21400000.0,0.93,1
226.1,225.06,227.18,225.06,13680000.0,0.55,1
227.27,226.86,229.27,226.43,14700000.0,0.52,0
226.45,227.03,227.94,225.52,12770000.0,-0.36,1
228.33,223.96,229.08,223.75,11300000.0,0.83,0
225.56,227.31,228.57,224.83,10430000.0,-1.21,0
224.07,223.9,226.79,222.96,14020000.0,-0.66,0
222.0,223.93,225.06,221.05,14990000.0,-0.92,1
225.24,222.83,225.73,222.64,14870000.0,1.46,1
226.41,225.24,227.64,223.74,9100000.0,0.52,0
224.34,226.83,227.42,223.75,9180000.0,-0.91,1
227.34,224.78,228.07,224.73,12490000.0,1.34,1
230.16,227.53,231.08,227.34,13710000.0,1.24,0
229.71,230.51,231.84,228.88,9410000.0,-0.2,1
230.4,231.08,231.57,228.86,5860000.0,0.3,0
226.59,231.13,231.23,225.45,7310000.0,-1.65,1
236.17,225.96,236.96,225.87,15980000.0,4.23,0
235.02,236.86,240.09,234.1,17210000.0,-0.49,0
230.47,235.63,236.0,229.58,12090000.0,-1.94,0
226.04,230.43,231.56,225.23,18570000.0,-1.92,1
227.14,226.7,228.59,224.86,12350000.0,0.49,0
223.93,226.97,227.69,223.06,13650000.0,-1.41,1
224.87,224.86,226.63,223.1,10800000.0,0.42,1
225.25,224.83,226.61,222.59,15350000.0,0.17,1
225.38,225.06,227.95,224.7,9130000.0,0.06,0
222.14,225.6,226.1,220.34,11080000.0,-1.44,0
222.08,222.19,225.01,221.26,13240000.0,-0.03,0
220.1,222.81,223.03,219.77,8039999.999999999,-0.89,1
221.31,220.11,223.48,219.7,7950000.0,0.55,0
217.84,221.35,222.32,216.85,8570000.0,-1.57,0
217.19,218.31,218.91,215.39,8090000.0,-0.3,0
212.0,216.65,217.19,211.47,8910000.0,-2.39,0
209.85,212.92,214.48,208.96,8620000.0,-1.01,1
217.4,211.4,218.54,210.06,11760000.0,3.6,0
213.75,217.19,217.19,212.7,10020000.0,-1.68,0
212.27,214.94,214.94,211.84,6120000.0,-0.69,1
214.63,212.24,216.07,211.22,8189999.999999999,1.11,0
206.01,215.83,215.83,205.44,17540000.0,-4.02,0
204.14,204.6,205.03,201.68,18510000.0,-0.91,0
186.51,197.85,197.85,183.91,32890000.0,-8.64,1
190.69,189.05,193.5,185.08,45690000.0,2.24,1
191.87,190.61,196.68,188.86,17500000.0,0.62,1
195.41,194.89,198.13,192.69,24920000.0,1.85,1
196.14,196.73,198.53,194.73,9940000.0,0.37,0
192.44,196.25,196.25,191.96,19110000.0,-1.89,0
188.83,191.99,191.99,187.76,19980000.0,-1.88,1
191.01,191.11,192.7,189.44,18140000.0,1.15,1
191.97,192.02,193.53,189.85,10760000.0,0.5,0
187.94,191.04,191.04,185.51,14950000.0,-2.1,0
187.33,188.47,189.76,186.09,9450000.0,-0.32,1
190.79,187.96,191.77,185.51,11910000.0,1.85,1
196.52,193.58,197.56,191.22,16010000.000000002,3.0,0
194.93,193.58,195.72,192.35,10220000.0,-0.81,0
193.57,196.05,196.98,192.5,9820000.0,-0.7,1
194.22,193.75,194.64,191.54,7350000.0,0.34,1
195.19,193.81,195.61,192.37,10620000.0,0.5,1
196.18,196.08,197.26,194.53,12390000.0,0.51,1
201.32,197.51,202.24,197.21,31620000.0,2.62,0
197.43,197.85,199.7,196.97,11750000.0,-1.93,0
190.64,197.85,198.96,189.87,14530000.0,-3.44,1
191.19,189.53,192.64,188.86,14050000.0,0.29,0
188.26,190.66,190.66,187.68,26840000.0,-1.53,0
187.57,188.82,189.06,186.32,10730000.0,-0.37,1
189.03,186.61,191.16,185.73,14630000.0,0.78,1
193.87,191.33,194.44,188.52,15960000.0,2.56,1
194.41,196.49,196.49,193.04,8000000.0,0.28,1
199.65,193.99,200.1,193.77,14780000.0,2.7,1
201.91,201.37,202.46,199.15,11380000.0,1.13,1
205.45,201.16,206.41,200.33,10630000.0,1.75,0
199.9,205.7,205.7,199.26,9930000.0,-2.7,0
199.51,201.01,203.58,198.19,8610000.0,-0.2,1
200.5,199.65,202.71,199.65,5730000.0,0.5,1
200.91,198.99,201.52,198.51,5690000.0,0.2,1
203.01,201.41,203.47,200.99,7390000.0,1.05,1
203.18,204.08,204.82,202.37,8350000.0,0.08,1
205.08,203.36,205.68,203.18,14070000.0,0.94,1
216.63,211.57,217.08,211.57,30930000.0,5.63,0
215.1,216.96,217.35,214.27,16700000.0,-0.71,0
214.72,214.83,219.17,214.27,13300000.0,-0.18,1
214.86,216.73,218.77,211.6,11220000.0,0.07,0
211.98,216.27,216.51,211.64,10100000.0,-1.34,0
211.24,211.07,213.2,210.76,10710000.0,-0.35,0
210.66,210.65,212.45,209.07,11040000.0,-0.27,1
211.57,210.44,212.47,210.21,12260000.0,0.43,1
213.07,211.82,214.92,211.37,12340000.0,0.71,1
215.8,213.37,216.18,212.51,6670000.0,1.28,1
217.46,216.57,218.19,216.12,10500000.0,0.77,0
213.88,217.64,219.21,212.74,9260000.0,-1.65,0
210.58,213.37,213.82,209.77,9940000.0,-1.54,1
214.13,211.22,214.66,210.87,7720000.0,1.69,1
216.12,209.88,216.96,207.62,15720000.0,0.93,0
207.47,215.17,215.73,206.01,10600000.0,-4.0,1
208.75,208.44,209.74,208.44,1210000.0,0.62,1
209.78,205.73,211.02,205.61,12630000.0,0.49,1
210.06,208.2,211.79,207.91,14160000.0,0.13,0
208.59,210.91,211.1,208.24,7930000.0,-0.7,0
205.05,208.56,209.39,204.59,10380000.0,-1.7,1
210.16,206.6,211.05,206.23,11250000.0,2.49,1
212.88,209.99,214.22,208.09,10430000.0,1.29,1
214.43,213.59,215.37,212.74,9690000.0,0.73,1
217.57,214.27,218.45,213.83,13670000.0,1.46,1
222.28,218.31,223.02,217.7,21970000.0,2.16,0
220.12,222.36,223.15,219.01,10050000.0,-0.97,0
217.16,220.0,221.33,216.36,27620000.0,-1.34,1
217.17,216.74,220.07,216.12,11980000.0,0.0,1
219.88,217.25,220.27,216.85,6990000.0,1.25,0
219.71,219.19,222.35,219.01,10490000.0,-0.08,0
217.07,218.61,219.48,216.15,12410000.0,-1.2,0
214.05,217.07,218.76,213.54,13370000.0,-1.39,0
211.55,213.34,214.4,210.47,6950000.0,-1.17,0
205.93,210.49,212.12,205.24,8470000.0,-2.66,1
213.67,207.41,214.45,206.85,17160000.0,3.76,1
214.26,213.99,215.62,212.0,16760000.000000002,0.28,1
214.74,213.05,216.63,212.69,9750000.0,0.22,1
219.42,215.17,219.88,214.41,14510000.0,2.18,1
220.03,219.42,222.03,218.88,11170000.0,0.28,1
227.01,220.35,228.21,219.89,17880000.0,3.17,0
223.01,225.69,226.86,222.59,14780000.0,-1.76,1
223.06,222.11,224.61,221.31,11380000.0,0.02,0
221.98,223.21,225.42,221.24,10690000.0,-0.48,1
225.69,222.99,226.38,222.59,11920000.0,1.67,0
224.96,225.71,226.45,224.0,10990000.0,-0.32,1
227.17,224.97,227.93,224.83,11890000.0,0.98,1
228.3,227.17,229.04,226.44,13770000.0,0.5,0
225.85,228.21,228.43,225.28,7520000.0,-1.07,1
228.12,225.6,229.26,224.63,17060000.0,1.01,1
228.28,227.04,229.08,226.68,5000000.0,0.07,0
223.78,225.96,227.94,221.84,27850000.0,-1.97,1
225.99,224.9,227.08,224.16,13800000.0,0.99,1
232.07,226.54,233.47,224.92,24700000.0,2.69,0
227.81,229.57,231.13,226.64,18220000.0,-1.84,1
230.62,229.33,232.23,228.59,19670000.0,1.23,1
236.43,228.42,238.5,227.31,26780000.0,2.52,0
235.05,237.2,239.54,234.07,21570000.0,-0.58,1
242.11,236.77,245.01,235.45,66269999.99999999,3.0,0
238.69,239.19,243.05,236.76,25680000.0,-1.41,1
241.31,240.52,244.96,239.58,26550000.0,1.1,0
228.62,241.7,243.71,226.65,25160000.0,-5.26,1
234.64,231.35,236.03,228.0,19830000.0,2.63,0
225.86,232.68,232.68,222.59,41640000.0,-3.74,0
221.28,228.78,230.62,219.59,29320000.0,-2.03,1
225.77,223.5,227.31,223.5,21860000.0,2.03,0
225.72,227.08,229.05,224.83,12090000.0,-0.02,0
224.69,226.65,227.08,224.15,15920000.0,-0.46,1
228.63,225.06,229.73,224.18,21300000.0,1.75,1
232.79,229.09,233.83,228.88,17700000.0,1.82,0
231.65,233.82,234.23,230.58,9160000.0,-0.49,0
225.09,231.65,232.21,222.7,13630000.0,-2.83,0
220.65,222.14,223.48,219.21,14480000.0,-1.97,0
218.77,222.14,225.06,217.12,16800000.0,-0.85,0
218.29,220.13,220.79,216.15,19380000.0,-0.22,0
216.08,218.34,221.42,215.38,11150000.0,-1.01,0
215.28,214.24,217.82,213.59,18090000.0,-0.37,1
216.44,213.97,218.76,213.29,15580000.0,0.54,0
207.87,216.48,217.18,205.84,15800000.0,-3.96,0
203.82,209.97,209.97,199.67,27060000.0,-1.95,1
212.86,206.4,213.9,206.4,17800000.0,4.44,0
209.22,213.84,215.39,208.42,12020000.0,-1.71,1
214.18,210.24,215.27,206.04,14250000.0,2.37,0
211.37,216.5,217.8,210.44,13320000.0,-1.31,1
212.32,211.34,214.21,210.75,9450000.0,0.45,1
216.36,212.27,217.71,212.27,11790000.0,1.9,0
213.51,216.54,217.46,211.96,17530000.0,-1.32,1
214.19,212.45,215.51,211.79,14020000.0,0.32,0
212.27,214.54,215.06,211.53,22920000.0,-0.9,1
213.67,214.27,215.56,212.31,7710000.0,0.66,1
217.34,213.88,223.62,210.22,28640000.0,1.72,1
220.63,216.9,221.47,216.89,15190000.0,1.51,1
225.17,223.24,226.13,221.97,18560000.0,2.06,1
227.72,227.08,228.88,224.27,14660000.0,1.13,0
226.27,227.98,228.21,225.62,8300000.000000001,-0.64,1
230.9,226.52,231.78,226.52,12200000.0,2.05,1
234.21,229.33,234.7,229.02,10940000.0,1.43,0
227.48,234.29,235.15,226.86,19110000.0,-2.87,1
228.09,228.18,231.48,227.22,14140000.0,0.27,1
229.27,229.13,230.77,227.75,10970000.0,0.52,1
229.44,230.23,231.1,228.23,9680000.0,0.07,1
229.72,229.56,230.63,226.06,10210000.0,0.12,0
228.43,230.9,233.13,227.53,15540000.0,-0.56,1
230.95,228.94,231.61,228.36,12950000.0,1.1,1
233.22,231.12,234.16,229.95,11730000.0,0.98,1
235.59,233.15,236.58,232.85,14150000.0,1.02,0
231.4,235.38,235.38,229.87,15510000.0,-1.78,0
229.42,231.58,231.96,228.35,16680000.0,-0.86,1
232.98,230.18,234.28,229.38,14650000.0,1.55,1
235.41,234.43,236.47,234.43,13340000.0,1.04,0
